ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,pobtot,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC,area_alcaldia,densidad_por_alcaldia,hogares_por_vivienda,tasa_anual,factor_5anos_crecimiento,poblacion_2025,categorizacion_educacion,categorizacion_nivel_educativo,porcentaje_piso_digno,porcentaje_tasa_desocupacion,porcentaje_con_seguro_social
9,Ciudad de México,0,Total de la entidad Ciudad de México,0,Total de la Entidad,,,2647.287066246057,8851080.0,9209944,4805017.0,4404927.0,267151.0,131720.0,135431.0,8933167.0,4668454.0,4264713.0,8720414.0,4563147.0,4157267.0,7915499.0,4167530.0,3747969.0,7547545.0,3985698.0,3561847.0,7166737.0,3798760.0,3367977.0,324942.0,160337.0,164605.0,692726.0,340587.0,352139.0,838416.0,412683.0,425733.0,367954.0,181832.0,186122.0,380808.0,186938.0,193870.0,984186,487898,496288,2508606,1491619,853207,638412,91.67,1652773,6525440,1022105,479904,237027,242877,563907,277627,286280,608962,299822,309140,650389,319280,331109,714605,355556,359049,752289,380208,372081,743611,380163,363448,705850,365305,340545,670307,352995,317312,668945,355099,313846,623483,337089,286394,526447,286796,239651,469514,260449,209065,356196,198951,157245,267744,152614,115130,175215,101005,74210,117480,71386,46094,105470,68802,36668,1.65,7404454,3807741,3596713,1679063,934710,744353,8327432,4373027,3954405,308686,160707,147979,125153,66922,58231,1032,674,358,122971,65818,57153,124540,1016,122379,289139,186914,95005,91909,493589,244406,210900,59979,114412,83316,85252,1141218,370714,731537,58899,258902,55719,226966,145428,7489519,90729,44344,46385,31704,15192,16512,23905,10935,12970,307359,154326,153033,446846,224403,222443,11841,5137,6704,107444,73765,33679,162484,96369,66115,277823,171549,106274,686827,399252,287575,195837,87488,108349,1468292,753306,714986,4516388,2341854,2174534,11.48,11.32,11.67,5099957.0,2316485,2783472,2798579,1843317,955262,4985469,2273939,2711530,114488.0,42546,71942,2502789,6689012,3881545.0,1128554,12484,104474,1203824,21158,444160,93084,3017529,3731096,1160556,6988016,668246,55245,1472848,2756319.0,1098365,1657954,9159392,3408051,5751341,3036239,2757433,2883154,2604348,2752169,2756319,207026,71780,9159392,3.32,0.8,2732051.0,16199,813453,1935230,136682,314544,2297404,2746872,1917,2719720,2655528,29004,2328798,1665465,2738826,4975,2744306,4207,2715805,175,2738936,1385629,6180,2580111,2279427,1843092,1289361,214550,550349,2165974,2647911,1649403,1898265,2536523,2084156,1290811,957162,568827,46172,77272,561128,10528,*,1485.01,6201.9407276718675,0.9995960010633078,0.003982336957394583,1.02007090768106,9394795.935771732,medio,secundaria,16.666666666666664,2.244881672531749,42.14515310842281
9,Ciudad de México,0,Total de la entidad Ciudad de México,9998,Localidades de una vivienda,,,2647.287066246057,219.0,320,128.0,192.0,16.0,8.0,8.0,304.0,120.0,184.0,291.0,114.0,177.0,265.0,103.0,162.0,248.0,96.0,152.0,227.0,89.0,138.0,18.0,9.0,9.0,21.0,8.0,13.0,33.0,12.0,21.0,17.0,7.0,10.0,21.0,7.0,14.0,33,15,18,69,37,11,26,150,72,223,25,29,14,15,15,7,8,28,11,17,31,10,21,23,12,11,28,12,16,35,12,23,21,9,12,16,6,10,16,8,8,21,9,12,20,7,13,12,4,8,7,1,6,1,0,1,9,3,6,1,0,1,7,3,4,*,216,88,128,103,40,63,261,105,156,29,9,20,14,5,9,0,0,0,14,5,9,14,0,14,42,7,2,5,18,7,6,3,9,1,2,42,10,24,3,7,2,12,3,259,10,3,7,0,0,0,3,1,2,16,4,12,7,6,1,0,0,0,14,7,7,19,9,10,24,7,17,35,9,26,12,3,9,84,36,48,67,30,37,8.63,9.02,8.38,190.0,52,138,74,51,23,186,52,134,4.0,0,4,139,181,65.0,20,0,0,88,5,5,0,86,146,33,258,8,1,53,85.0,11,74,319,52,267,156,86,155,85,82,85,25,45,319,3.75,1.23,73.0,9,38,44,18,16,48,67,15,58,4,24,65,47,71,9,76,6,47,2,70,36,3,45,37,26,44,8,11,66,61,20,24,67,23,17,8,8,9,14,52,5,*,1485.01,0.21548676439889294,0.9883720930232558,0.03865325471787795,1.2087957704309986,386.81464653791954,bajo,primaria,16.666666666666664,2.1052631578947367,20.3125
9,Ciudad de México,0,Total de la entidad Ciudad de México,9999,Localidades de dos viviendas,,,2647.287066246057,340.0,364,178.0,186.0,9.0,4.0,5.0,355.0,174.0,181.0,346.0,168.0,178.0,288.0,142.0,146.0,268.0,131.0,137.0,255.0,124.0,131.0,16.0,8.0,8.0,51.0,24.0,27.0,60.0,29.0,31.0,20.0,11.0,9.0,13.0,7.0,6.0,37,19,18,95,48,20,28,104.49,96,240,28,18,10,8,37,14,23,41,23,18,28,14,14,22,12,10,25,14,11,25,14,11,19,11,8,22,8,14,39,22,17,29,13,16,11,3,8,20,10,10,8,2,6,9,3,6,7,4,3,4,1,3,0,0,0,*,266,135,131,92,41,51,333,161,172,13,7,6,25,13,12,0,0,0,25,13,12,25,0,25,63,7,5,2,13,7,5,3,1,2,3,53,10,33,2,12,2,10,0,298,7,5,2,5,3,2,1,1,0,9,5,4,11,6,5,4,2,2,14,8,6,16,8,8,23,10,13,52,23,29,9,4,5,59,23,36,103,59,44,9.28,9.76,8.82,207.0,83,124,79,59,20,206,83,123,1.0,0,1,135,229,55.0,30,1,2,122,0,18,3,91,168,29,289,32,0,43,108.0,28,80,364,86,278,179,108,177,106,107,108,36,35,364,3.37,1.06,96.0,11,52,55,19,28,60,88,19,71,20,36,81,54,87,17,99,8,64,3,93,47,3,59,45,26,57,6,12,79,82,28,21,89,27,22,6,4,10,15,72,3,*,1485.01,0.24511619450374073,1.0,0.006844139808103833,1.0346923384727067,376.6280112040652,medio,secundaria,16.666666666666664,0.4830917874396135,15.10989010989011
9,Ciudad de México,2,Azcapotzalco,0,Total del Municipio,,,2647.287066246057,414711.0,432205,227255.0,204950.0,11784.0,5702.0,6082.0,420056.0,221370.0,198686.0,410780.0,216806.0,193974.0,377144.0,200360.0,176784.0,361474.0,192669.0,168805.0,345123.0,184700.0,160423.0,14191.0,6954.0,7237.0,28721.0,14056.0,14665.0,35256.0,17270.0,17986.0,15670.0,7691.0,7979.0,16351.0,7969.0,8382.0,43088,21303,21785,115600,78650,45565,33085,90.19,70366,306611,54863,21060,10266,10794,23420,11470,11950,25886,12667,13219,27983,13711,14272,31456,15561,15895,34405,17506,16899,34905,17858,17047,33162,17294,15868,31245,16621,14624,31859,17049,14810,31135,16822,14313,26674,14682,11992,23787,13290,10497,18059,10153,7906,14232,8307,5925,9631,5665,3966,6845,4217,2628,6096,3933,2163,1.6,349428,181067,168361,79365,44454,34911,388572,205428,183144,20545,10573,9972,3208,1708,1500,21,15,6,3159,1678,1481,3199,21,3150,7261,8864,4503,4361,24000,12346,9965,2886,5823,4220,4051,56564,19192,36011,2857,13668,2920,11463,6358,348220,3278,1564,1714,1475,701,774,969,430,539,13779,6802,6977,21840,11006,10834,386,158,228,3675,2658,1017,4863,3374,1489,10863,7082,3781,30849,18645,12204,7539,3341,4198,60401,30819,29582,234812,122122,112690,11.91,11.7,12.14,239069.0,110331,128738,137554,89796,47758,232719,107939,124780,6350.0,2392,3958,90370,341302,238847.0,48827,902,11600,34369,876,10983,2854,147260,171393,58399,335663,29623,2171,63846,134168.0,54550,79618,431347,164470,266877,149381,134204,145267,130090,133962,134168,10714,4463,431347,3.21,0.77,133490.0,334,37763,96070,3888,12670,117275,133798,38,133597,132706,239,107591,84062,133572,45,133748,87,133511,2,133563,65802,188,128896,115721,97011,64567,9851,33588,106789,130067,86856,96128,123961,105899,66399,50965,31801,1661,2869,22687,322,*,35.9,12039.136490250698,0.9997317516616494,0.004140359766363844,1.0208739358567689,441226.8194469748,medio,secundaria,16.666666666666664,2.6561369311788647,55.26243333603267
9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco," 99°11'03.698"" W","19°29'02.770"" N",2244.0,414711.0,432205,227255.0,204950.0,11784.0,5702.0,6082.0,420056.0,221370.0,198686.0,410780.0,216806.0,193974.0,377144.0,200360.0,176784.0,361474.0,192669.0,168805.0,345123.0,184700.0,160423.0,14191.0,6954.0,7237.0,28721.0,14056.0,14665.0,35256.0,17270.0,17986.0,15670.0,7691.0,7979.0,16351.0,7969.0,8382.0,43088,21303,21785,115600,78650,45565,33085,90.19,70366,306611,54863,21060,10266,10794,23420,11470,11950,25886,12667,13219,27983,13711,14272,31456,15561,15895,34405,17506,16899,34905,17858,17047,33162,17294,15868,31245,16621,14624,31859,17049,14810,31135,16822,14313,26674,14682,11992,23787,13290,10497,18059,10153,7906,14232,8307,5925,9631,5665,3966,6845,4217,2628,6096,3933,2163,1.6,349428,181067,168361,79365,44454,34911,388572,205428,183144,20545,10573,9972,3208,1708,1500,21,15,6,3159,1678,1481,3199,21,3150,7261,8864,4503,4361,24000,12346,9965,2886,5823,4220,4051,56564,19192,36011,2857,13668,2920,11463,6358,348220,3278,1564,1714,1475,701,774,969,430,539,13779,6802,6977,21840,11006,10834,386,158,228,3675,2658,1017,4863,3374,1489,10863,7082,3781,30849,18645,12204,7539,3341,4198,60401,30819,29582,234812,122122,112690,11.91,11.7,12.14,239069.0,110331,128738,137554,89796,47758,232719,107939,124780,6350.0,2392,3958,90370,341302,238847.0,48827,902,11600,34369,876,10983,2854,147260,171393,58399,335663,29623,2171,63846,134168.0,54550,79618,431347,164470,266877,149381,134204,145267,130090,133962,134168,10714,4463,431347,3.21,0.77,133490.0,334,37763,96070,3888,12670,117275,133798,38,133597,132706,239,107591,84062,133572,45,133748,87,133511,2,133563,65802,188,128896,115721,97011,64567,9851,33588,106789,130067,86856,96128,123961,105899,66399,50965,31801,1661,2869,22687,322,12,35.9,12039.136490250698,0.9997317516616494,0.004140359766363844,1.0208739358567689,441226.8194469748,medio,secundaria,16.666666666666664,2.6561369311788647,55.26243333603267
9,Ciudad de México,3,Coyoacán,0,Total del Municipio,,,2647.287066246057,620416.0,614447,325337.0,289110.0,14791.0,7252.0,7539.0,599528.0,318019.0,281509.0,587692.0,312162.0,275530.0,543990.0,290668.0,253322.0,522992.0,280428.0,242564.0,500374.0,269320.0,231054.0,18061.0,8857.0,9204.0,37477.0,18494.0,18983.0,46646.0,22916.0,23730.0,20998.0,10240.0,10758.0,22618.0,11108.0,11510.0,63817,31569,32248,162387,126592,73584,53008,88.86,91327,432544,90448,26627,13109,13518,30448,15013,15435,34252,16721,17531,39399,19308,20091,47036,23369,23667,47839,23960,23879,45644,23393,22251,44680,23561,21119,44815,23931,20884,46180,24865,21315,43229,23601,19628,37578,20856,16722,36144,20697,15447,30490,17480,13010,24070,13762,10308,15949,9201,6748,10393,6219,4174,9546,6225,3321,1.55,495288,257509,237779,110671,63258,47413,563641,299642,263999,20232,10652,9580,7728,4422,3306,57,34,23,7630,4367,3263,7681,56,7584,15349,11120,5762,5358,34446,17427,13897,4106,8413,6310,6613,76689,26277,46674,3782,19239,3929,16263,11104,497720,3734,1848,1886,1698,811,887,1243,588,655,19112,9494,9618,34728,17235,17493,551,239,312,5765,3902,1863,8086,5269,2817,14199,9085,5114,35386,21531,13855,9614,4368,5246,78405,41397,37008,361934,189868,172066,12.51,12.29,12.77,340527.0,160166,180361,202374,130022,72352,331549,156658,174891,8978.0,3508,5470,160961,452819,273066.0,96651,530,6624,50485,1386,36751,5054,214160,247186,82270,463550,39559,2881,106925,191517.0,80509,111008,612130,239563,372567,208024,191646,199165,182787,191244,191517,12076,4302,612130,3.2,0.7,190701.0,450,46621,144563,8052,15789,167334,191126,61,191053,190474,133,154811,114453,190834,51,190986,182,190814,2,190732,77944,268,184255,167211,143006,109429,14520,36902,154275,184451,133587,145013,179280,157908,101660,80413,44991,2893,3506,27008,443,*,54.4,11294.98161764706,0.9993268839422685,0.0009662872914063536,1.0048407825950185,617421.4043431614,alto,preparatoria o mas,16.666666666666664,2.6365016577246445,44.440936321603004
9,Ciudad de México,3,Coyoacán,1,Coyoacán," 99°09'43.724"" W","19°21'00.770"" N",2247.0,620416.0,614447,325337.0,289110.0,14791.0,7252.0,7539.0,599528.0,318019.0,281509.0,587692.0,312162.0,275530.0,543990.0,290668.0,253322.0,522992.0,280428.0,242564.0,500374.0,269320.0,231054.0,18061.0,8857.0,9204.0,37477.0,18494.0,18983.0,46646.0,22916.0,23730.0,20998.0,10240.0,10758.0,22618.0,11108.0,11510.0,63817,31569,32248,162387,126592,73584,53008,88.86,91327,432544,90448,26627,13109,13518,30448,15013,15435,34252,16721,17531,39399,19308,20091,47036,23369,23667,47839,23960,23879,45644,23393,22251,44680,23561,21119,44815,23931,20884,46180,24865,21315,43229,23601,19628,37578,20856,16722,36144,20697,15447,30490,17480,13010,24070,13762,10308,15949,9201,6748,10393,6219,4174,9546,6225,3321,1.55,495288,257509,237779,110671,63258,47413,563641,299642,263999,20232,10652,9580,7728,4422,3306,57,34,23,7630,4367,3263,7681,56,7584,15349,11120,5762,5358,34446,17427,13897,4106,8413,6310,6613,76689,26277,46674,3782,19239,3929,16263,11104,497720,3734,1848,1886,1698,811,887,1243,588,655,19112,9494,9618,34728,17235,17493,551,239,312,5765,3902,1863,8086,5269,2817,14199,9085,5114,35386,21531,13855,9614,4368,5246,78405,41397,37008,361934,189868,172066,12.51,12.29,12.77,340527.0,160166,180361,202374,130022,72352,331549,156658,174891,8978.0,3508,5470,160961,452819,273066.0,96651,530,6624,50485,1386,36751,5054,214160,247186,82270,463550,39559,2881,106925,191517.0,80509,111008,612130,239563,372567,208024,191646,199165,182787,191244,191517,12076,4302,612130,3.2,0.7,190701.0,450,46621,144563,8052,15789,167334,191126,61,191053,190474,133,154811,114453,190834,51,190986,182,190814,2,190732,77944,268,184255,167211,143006,109429,14520,36902,154275,184451,133587,145013,179280,157908,101660,80413,44991,2893,3506,27008,443,13,54.4,11294.98161764706,0.9993268839422685,0.0009662872914063536,1.0048407825950185,617421.4043431614,alto,preparatoria o mas,16.666666666666664,2.6365016577246445,44.440936321603004
9,Ciudad de México,4,Cuajimalpa de Morelos,0,Total del Municipio,,,2647.287066246057,186391.0,217686,113537.0,104149.0,8030.0,3935.0,4095.0,209540.0,109545.0,99995.0,203315.0,106464.0,96851.0,181693.0,95927.0,85766.0,172263.0,91212.0,81051.0,162395.0,86322.0,76073.0,9524.0,4673.0,4851.0,18323.0,8945.0,9378.0,21875.0,10800.0,11075.0,9430.0,4715.0,4715.0,9868.0,4890.0,4978.0,25202,12908,12294,62894,25803,14266,11537,91.73,45307,155503,16760,14255,7016,7239,15279,7431,7848,15773,7821,7952,16776,8334,8442,18294,9464,8830,18450,9718,8732,18156,9609,8547,16830,8817,8013,15914,8471,7443,15880,8481,7399,14603,7892,6711,11557,6160,5397,9043,4863,4180,6259,3362,2897,4385,2449,1936,2805,1543,1262,1829,1078,751,1482,971,511,1.66,179249,91580,87669,32842,19039,13803,192855,100591,92264,7892,4532,3360,2046,1186,860,6,3,3,1995,1160,835,2032,6,1983,4022,3053,1524,1529,7684,3416,3565,1068,1729,1448,1362,18693,5542,12062,1069,4091,908,3453,2415,189457,2613,1335,1278,1038,458,580,669,302,367,7966,4010,3956,11086,5652,5434,348,157,191,2575,1715,860,3852,2469,1383,7000,4343,2657,16158,9503,6655,4773,2171,2602,35791,18647,17144,98758,50894,47864,11.44,11.2,11.71,119508.0,54447,65061,61443,41066,20377,117358,53727,63631,2150.0,720,1430,52803,164222,88466.0,15952,340,1534,27886,1065,34990,1958,67268,92967,21046,174811,10285,5082,26667,60436.0,20081,40355,217606,66710,150896,65831,60442,52825,47436,60399,60436,4271,1118,217606,3.6,0.81,59692.0,591,17170,43168,3004,7586,49747,60308,31,60038,56005,285,52313,23965,59992,201,60144,137,59860,0,59991,25604,96,55643,51099,43408,33628,4853,5061,47367,58499,37693,42165,56543,46389,31667,24817,14591,914,1675,11961,180,*,74.58,2918.8254223652452,0.9999007312795738,0.015641775654127166,1.0806940999414574,235251.97583985608,medio,secundaria,16.666666666666664,1.7990427419084916,40.63926940639269
9,Ciudad de México,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos," 99°17'59.252"" W","19°21'26.461"" N",2780.0,160491.0,186693,97615.0,89078.0,6715.0,3260.0,3455.0,179869.0,94300.0,85569.0,174654.0,91709.0,82945.0,156708.0,83039.0,73669.0,148763.0,79085.0,69678.0,140419.0,74957.0,65462.0,7948.0,3883.0,4065.0,15213.0,7378.0,7835.0,18280.0,8978.0,9302.0,7945.0,3954.0,3991.0,8344.0,4128.0,4216.0,21403,11039,10364,54258,22800,12635,10165,91.25,37821,133841,14922,11930,5851,6079,12637,6078,6559,13254,6546,6708,14193,7085,7108,15554,8082,7472,15802,8392,7410,15589,8313,7276,14513,7642,6871,13780,7326,6454,13880,7418,6462,12649,6835,5814,10003,5357,4646,7878,4245,3633,5514,2979,2535,3882,2168,1714,2525,1388,1137,1662,974,688,1339,881,458,1.63,153070,78261,74809,28151,16504,11647,165188,86355,78833,6992,4066,2926,1669,988,681,4,3,1,1643,975,668,1661,4,1635,3023,2585,1314,1271,6490,2872,3032,911,1457,1245,1152,15804,4680,10255,911,3487,773,2956,2069,162782,2080,1090,990,790,337,453,535,242,293,6908,3461,3447,9877,5053,4824,279,121,158,2071,1384,687,3085,1994,1091,5724,3605,2119,13181,7907,5274,3927,1807,2120,29056,15235,13821,88656,45781,42875,11.69,11.43,11.99,103429.0,47661,55768,52631,35010,17621,101629,47031,54598,1800.0,630,1170,43787,142320,75838.0,13375,255,1364,22087,722,34528,1699,58778,79387,18179,148990,8672,4989,23294,52524.0,17745,34779,186613,58310,128303,56986,52530,44568,40112,52491,52524,3518,938,186613,3.55,0.79,51985.0,402,14581,37857,2371,6243,43823,52415,22,52297,50680,124,44923,21752,52233,84,52288,104,52163,0,52186,20875,71,48986,44970,38933,30619,4402,4598,41142,50979,34265,37799,49357,41641,29116,23240,13476,709,1263,9229,126,11,74.58,2503.2582461786,0.9998857795545403,0.015237696713194637,1.078546007965621,201356.98986512568,medio,secundaria,16.666666666666664,1.7403242804242522,40.62176942895556
9,Ciudad de México,4,Cuajimalpa de Morelos,10,Cruz Blanca," 99°19'26.437"" W","19°19'04.026"" N",2982.0,581.0,728,362.0,366.0,47.0,29.0,18.0,681.0,333.0,348.0,657.0,323.0,334.0,565.0,284.0,281.0,529.0,263.0,266.0,497.0,247.0,250.0,41.0,20.0,21.0,75.0,29.0,46.0,86.0,41.0,45.0,36.0,21.0,15.0,32.0,16.0,16.0,95,43,52,196,54,28,26,101.1,199,498,31,71,39,32,74,33,41,54,27,27,55,27,28,72,32,40,76,45,31,65,29,36,55,24,31,43,20,23,31,19,12,48,26,22,30,13,17,23,12,11,13,6,7,10,6,4,6,3,3,1,0,1,1,1,0,2.07,499,239,260,226,121,105,601,290,311,54,32,22,33,19,14,0,0,0,30,17,13,33,0,30,98,8,3,5,41,21,17,6,7,3,6,95,47,36,5,20,2,27,8,591,8,3,5,3,2,1,1,0,1,22,10,12,29,10,19,0,0,0,16,10,6,23,12,11,55,26,29,66,35,31,34,14,20,157,80,77,183,93,90,8.97,8.94,9,353.0,139,214,212,145,67,333,137,196,20.0,2,18,175,553,243.0,37,0,2,277,1,7,3,173,304,88,543,84,1,100,192.0,61,131,728,207,521,224,192,222,190,192,192,25,7,728,3.79,1.2,185.0,7,83,109,29,50,113,192,0,189,45,3,171,25,160,29,182,10,181,0,170,142,2,130,143,72,47,11,6,162,179,62,75,181,86,36,34,32,4,7,94,2,3,74.58,9.761330115312417,1.0,0.02281131703734318,1.1193802071650059,814.9087908161242,bajo,primaria,16.666666666666664,5.6657223796034,33.379120879120876
